feature,importance,rank
cat__model_325cic,0,931
cat__model_325e,0,932
cat__model_qx70,0,933
cat__model_qx80,0,934
cat__model_r,0,935
cat__model_r32,0,936
cat__model_r320,0,937
cat__model_r350,0,938
cat__model_r8,0,939
cat__model_rabbit,0,940
cat__model_ram1500,0,941
cat__model_ram2500,0,942
cat__model_ram3500,0,943
cat__model_ramcharger,0,944
cat__model_rampage,0,945
cat__model_range,0,946
cat__model_325ic,0,947
cat__model_raptor,0,948
cat__model_firebird,0,949
cat__model_rc,0,950
cat__model_rc200t,0,951
cat__model_rc350,0,952
cat__model_325ix,0,953
cat__model_relay,0,954
cat__model_fifth,0,955
cat__model_325xi,0,956
cat__model_328,0,957
cat__model_rio5,0,958
cat__model_rl,0,959
cat__model_rlx,0,960
cat__model_roadster,0,961
cat__model_328ci,0,962
cat__model_328d,0,963
cat__model_rondo,0,964
cat__model_routan,0,965
cat__model_routen,0,966
cat__model_rs,0,967
cat__model_rs3,0,968
cat__model_rs5,0,969
cat__model_rs7,0,970
cat__model_rsx,0,971
cat__model_fiero,0,972
cat__model_328gt,0,973
cat__model_rx300,0,974
cat__model_rx330,0,975
cat__model_328xDrive,0,976
cat__model_rx400h,0,977
cat__model_rx450h,0,978
cat__model_rx7,0,979
cat__model_rx8,0,980
cat__model_festiva,0,981
cat__model_s2000,0,982
cat__model_s3,0,983
cat__model_s320,0,984
cat__model_s4,0,985
cat__model_s40,0,986
cat__model_s400,0,987
cat__model_s420,0,988
cat__model_s430,0,989
cat__model_328xi,0,990
cat__model_s500,0,991
cat__model_s550,0,992
cat__model_s6,0,993
cat__model_330ci,0,994
cat__model_s60r,0,995
cat__model_s7,0,996
cat__model_s70,0,997
cat__model_s8,0,998
cat__model_s80,0,999
cat__model_s90,0,1000
cat__model_sable,0,1001
cat__model_sabre,0,1002
cat__model_330e,0,1003
cat__model_sc,0,1004
cat__model_sc1,0,1005
cat__model_sc2,0,1006
cat__model_sc300,0,1007
cat__model_sc400,0,1008
cat__model_sc430,0,1009
cat__model_school,0,1010
cat__model_330i,0,1011
cat__model_330xi,0,1012
cat__model_sedan,0,1013
cat__model_sedona,0,1014
cat__model_seirra,0,1015
cat__model_feaf,0,1016
cat__model_f800,0,1017
cat__model_sevile,0,1018
cat__model_seville,0,1019
cat__model_short,0,1020
cat__model_si,0,1021
cat__model_335,0,1022
cat__model_silver,0,1023
cat__model_silverardo,0,1024
cat__model_sivlerado,0,1025
cat__model_sky,0,1026
cat__model_skyline,0,1027
cat__model_335d,0,1028
cat__model_sl1,0,1029
cat__model_sl2,0,1030
cat__model_sl500,0,1031
cat__model_sl550,0,1032
cat__model_sl560,0,1033
cat__model_sl600,0,1034
cat__model_sliverado,0,1035
cat__model_slk,0,1036
cat__model_slk230,0,1037
cat__model_slk350,0,1038
cat__model_sls,0,1039
